시군구,단지명,계약연월,전용면적(㎡),매매대금(만원) 평균,전세(만원) 평균,면적당 매매대금평균,면적당 전세평균,전세가율-100%,lat,lng,전세가율-90%,전세가율-80%,전세가율-70%,전세가율-60%
강원특별자치도 강릉시 교동-1780,부영3차,2021-04-01,84.93,27300.0,24000.0,321.4411869,282.5856588,87.91208791,37.7603756,128.8747168,24570.0,21840.0,19110.0,16380.0
강원특별자치도 강릉시 교동-1780,부영3차,2021-06-01,84.93,26975.0,23450.0,317.6145061,276.1097374,86.93234476,37.7603756,128.8747168,24277.5,21580.0,18882.5,16185.0
강원특별자치도 강릉시 교동-1780,부영3차,2021-07-01,84.93,28266.66667,23333.33333,332.8231092,274.7360571,82.54716981,37.7603756,128.8747168,25440.000003,22613.333336,19786.666669,16960.000001999997
강원특별자치도 강릉시 교동-1780,부영3차,2021-10-01,84.93,28000.0,22500.0,329.6832686,264.9240551,80.35714286,37.7603756,128.8747168,25200.0,22400.0,19600.0,16800.0
강원특별자치도 강릉시 교동-1780,부영3차,2022-05-01,84.93,35050.0,24925.0,412.6928058,293.476981,71.11269615,37.7603756,128.8747168,31545.0,28040.0,24535.0,21030.0
강원특별자치도 강릉시 교동-1780,부영3차,2022-10-01,84.93,28500.0,26000.0,335.5704698,306.1344637,91.22807018,37.7603756,128.8747168,25650.0,22800.0,19950.0,17100.0
강원특별자치도 강릉시 교동-1780,부영3차,2022-11-01,84.93,32000.0,29000.0,376.7808784,341.457671,90.625,37.7603756,128.8747168,28800.0,25600.0,22400.0,19200.0
강원특별자치도 강릉시 교동-1780,부영3차,2022-12-01,84.93,28000.0,26000.0,329.6832686,306.1344637,92.85714286,37.7603756,128.8747168,25200.0,22400.0,19600.0,16800.0
강원특별자치도 강릉시 교동-1780,부영3차,2023-07-01,84.93,30000.0,22000.0,353.2320735,259.0368539,73.33333333,37.7603756,128.8747168,27000.0,24000.0,21000.0,18000.0
강원특별자치도 강릉시 교동-1982,강릉교동롯데캐슬1단지,2020-12-01,163.9852,47500.0,40000.0,289.6602864,243.9244517,84.21052632,37.766111,128.8882972,42750.0,38000.0,33250.0,28500.0
강원특별자치도 강릉시 교동-1982,강릉교동롯데캐슬1단지,2022-08-01,135.1727,58000.0,50000.0,429.0807241,369.897176,86.20689655,37.766111,128.8882972,52200.0,46400.0,40600.0,34800.0
강원특별자치도 강릉시 교동-1983,강릉교동롯데캐슬2단지,2021-12-01,135.1008,61700.0,50000.0,456.6960373,370.0940335,81.03727715,37.7671099,128.8900793,55530.0,49360.0,43190.0,37020.0
강원특별자치도 강릉시 교동-1984,강릉교동풍림아이원아파트,2019-11-01,84.9964,28700.0,26500.0,337.6613598,311.7779106,92.33449477,37.7611837,128.8898179,25830.0,22960.0,20090.0,17220.0
강원특별자치도 강릉시 교동-1984,강릉교동풍림아이원아파트,2021-09-01,84.9964,39500.0,35500.0,464.7255648,417.6647482,89.87341772,37.7611837,128.8898179,35550.0,31600.0,27650.0,23700.0
강원특별자치도 강릉시 교동-1984,강릉교동풍림아이원아파트,2022-02-01,84.9964,43500.0,40000.0,511.7863815,470.6081669,91.95402299,37.7611837,128.8898179,39150.0,34800.0,30449.999999999996,26100.0
강원특별자치도 강릉시 교동-348,서일2,2019-10-01,27.75,4600.0,3000.0,165.7657658,108.1081081,65.2173913,37.7713227,128.8973812,4140.0,3680.0,3220.0,2760.0
강원특별자치도 강릉시 교동-46,한신,2021-06-01,59.84,14366.66667,13300.0,240.0846702,222.2593583,92.57540603,37.7678028,128.9001919,12930.000003000001,11493.333336000002,10056.666669,8620.000002
강원특별자치도 강릉시 교동-834,덕진,2021-06-01,40.86,5400.0,5000.0,132.1585903,122.3690651,92.59259259,37.7630282,128.8878309,4860.0,4320.0,3779.9999999999995,3240.0
강원특별자치도 강릉시 남문동-0183,삼익그린맨션,2020-05-01,84.08,12000.0,12000.0,142.7212179,142.7212179,100.0,37.7492233,128.8849461,10800.0,9600.0,8400.0,7200.0
강원특별자치도 강릉시 내곡동-0623,내곡주공,2020-07-01,39.3,6700.0,6100.0,170.4834606,155.216285,91.04477612,37.7412276,128.8790108,6030.0,5360.0,4690.0,4020.0
강원특별자치도 강릉시 내곡동-0623,내곡주공,2020-09-01,39.69,6950.0,6000.0,175.1070799,151.1715797,86.33093525,37.7412276,128.8790108,6255.0,5560.0,4865.0,4170.0
강원특별자치도 강릉시 내곡동-476,내곡한라,2021-06-01,59.97,14450.0,12000.0,240.9538102,200.10005,83.0449827,37.7442295,128.8809534,13005.0,11560.0,10115.0,8670.0
강원특별자치도 강릉시 내곡동-623,내곡주공,2020-08-01,39.3,6900.0,5400.0,175.5725191,137.4045802,78.26086957,37.7412276,128.8790108,6210.0,5520.0,4830.0,4140.0
